id,qno,chapter,questionType,stem,optionA,optionB,optionC,optionD,optionE,correctAnswer,analysis,difficulty,source,isActive
q_00016,17,第一章 电力市场基础,multiple,欧洲批发能源市场的完整性和透明度法规REMIT的目标是( ),市场整合的信心,公平体现供求竞争性交互的市场价格,确保没有人从市场中不正当获利,建立统一欧洲电力市场,,ABC,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00017,18,第一章 电力市场基础,single,( )是欧盟电网管理代码的欧盟市场稠合的设置标准,《电网容量分配和阻塞管理导则》 (CACM法规),北欧电力交易所(NrdPl)标准,欧洲批发能源市场的完整性和透明度法规REMIT,国家监管机构(NGA)法规,,A,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00018,19,第一章 电力市场基础,multiple,北欧电力市场的主要市场特征包括( ),市场流动性,"组合招标,自行调度",市场区域间可用传输容量的隐性拈卖,价格透明度,,ABCD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00019,20,第一章 电力市场基础,single,社会福利为生产者剩余和消费者剩余之( ),和,差 c.积,,商,,A,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00020,21,第一章 电力市场基础,multiple,影响价格弹性的因素包括( ),商品的可替代性,商品用途的广泛性,对消费者的重要程度,商品的消费支出在消费者预算总支出中所占的比重,,ABCD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00021,22,第一章 电力市场基础,single,"需求弹性为( ),说明市场富于弹性",大于等于1,大于1 c.等于1,,小于1,,B,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00022,23,第一章 电力市场基础,single,"垄断市场的三级价格歧视中,一级价格歧视是指( )",垄断厂商对同一种产晶在不同的市场上/消费群体收取不同的价格,垄断厂商对同一种产品在不同的市场上/消费群体收取相同的价格,垄断厂商要求对不同的消费数量段规定不同的价格,垄断厂商对每一单位产品都按消费者所愿意支付的最高价格出售,,D,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00023,24,第一章 电力市场基础,single,不同市场的经济效益由高到低排序为( ),完全竟争>寡头>垄断竟争>垄断,完全竞争>垄断>垄断竟争>寡头,完全竟争>垄断竞争>寡头>垄断,寡头>垄断竟争>垄断>完全竞争,,C,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00024,25,第一章 电力市场基础,single,"与完全竟争市场相比,垄断市场通常将引起( )",高价格和高产量,高价格和低产量,低价格和低产量,低价格和高产量 0,,B,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00025,26,第一章 电力市场基础,multiple,形成完全垄断的原因是( ),政府的特许经营,专利权独家垄断,固定资产投资规模过大,对行业重要资源的垄断占有,限制新企业进入该行业市场,ABCDE,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00026,27,第一章 电力市场基础,single,下列不属于垄断竟争市场特征的是( ),"企业生产有差别的同种产品,产品彼此之间都是非常接近的替代品",生产同种产品的企业数量非常多,"企业的生产规模较小,进入和退出市场比较容易",市场内从事交易活动的参与者可以完整地掌握市场信息,,D,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00027,28,第一章 电力市场基础,single,( )电价是指电力生产企业向电网经营企业输送电能的结算价格,输配,上网,销售,峰谷,,B,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00028,29,第一章 电力市场基础,single,( )是根据生产单位产晶的产量或产值所需耗用的电量、预测期生产的产品产 量或产值来测算预测期用电量的方法,电力弹性系数法,回归分析法,单耗法,时间序列法,,C,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00029,30,第一章 电力市场基础,multiple,下列可以作为大宗商品进行交易的有( ),金属,稻谷、小麦,天然气、石油,电力,,ABCD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00030,31,第一章 电力市场基础,multiple,以下属于电力金融市场的是( ),电力期货,电力期权,金融输电权,现货交易,,ABC,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00031,32,第一章 电力市场基础,single,"根据预测发电报价曲线和系统负荷的预测值求解市场均衡点,进而导出电价的预测 值。这种预测电价的方法是( )",市场均衡分析法,神经网络法,模糊建模法,运行仿真法,,A,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00032,33,第一章 电力市场基础,single,边际成本是指( ),企业多生产一单位产量引起的总成本的变动,企业增加单位产晶销售所获得的总收入增量,企业在短期内平均每生产一单位产晶所消耗的全部成本,企业在短期内平均每生产一单位产晶所消耗的可变成本,,A,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00033,34,第一章 电力市场基础,single,"上升的电价会激励发电公司投资建设新电厂,发电容量将增加,直至( )的最 佳点为止",电价等于发电短期边际成本,电价略高于发电短期边际成本,电价等于发电长期边际成本,电价略高于发电长期边际成本,,C,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00034,35,第一章 电力市场基础,multiple,下列关于完全竟争市场的叙述中正确的是( ),任何一个市场成员所占的市场份额都微不足道,不同企业的同类产品之间在性能、价格等方面有差异,"无论企业向市场提供多少数量的商品,平均年收益和边际收益都不随着数量变动而变动","企业不会在平均成本的最低点上进行生产,市场价格往往高于边际成本,资源得不到最 好的利用",生产者与消费者对市场信息都能充分了解,ACE,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00035,36,第一章 电力市场基础,multiple,下面选项中影响电力需求的主要因素包括( ),电价,电力投资 c.供电电压等级,,替代能源 E.需求侧管理,,ABDE,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00036,37,第一章 电力市场基础,multiple,"用短期边际成本法进行输电定价,输电成本包括( )",网损,电网固定资产折旧 c.系统约柬成本,,维护成本 E.系统扩展成本 ③,,ACD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00037,38,第一章 电力市场基础,multiple,金融输电权一般包括的要素是( ),注入节点,流出节点,功率,时间段 0,,ABCD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00038,39,第一章 电力市场基础,single,( )是指一个人的行为或企业的行为使其他人或企业的经济利益受损,负外部性,正外部性,负相关,正相关,,A,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00039,40,第一章 电力市场基础,single,"英国中长期市场交易电量占总电量的( )以上,日前市场、日内市场和平衡机 制交易电量大约占总电量的( )","75%, 10%",85%' 10%,75%' 15%,"85%, 15% ⑩",,D,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00040,41,第一章 电力市场基础,multiple,"假设某商品市场需求函数为庐30-2P,供给函数为茫3尸十10,均衡价格和均衡产量 各为( )",尸=4,尸=6,g=20,g=22,,AD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00041,42,第一章 电力市场基础,multiple,"假如消费函数c=10m渺(其中c为均衡消费,少为均衡收入),投资;=50,则 ( )",均衡收入为750,均衡收入为700,均衡消费为700,均衡储蓄为50 0,,ACD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00042,43,第一章 电力市场基础,single,北欧电力市场简写为( ),PJM,1SO-NE,CAISO,Nrd Pl,,D,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00043,44,第一章 电力市场基础,single,"在英国的BETm模式中,再调度是通过( )来实现",日内市场中的二次报价,日前市场中的安全校核,现货市场中的平衡机制,通道容量的隐式拍卖,,C,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00044,45,第一章 电力市场基础,single,下列电力市场中有金融输电权(FTR)的是( ),英国电力库模式,美国PJM电力市场,新加坡电力市场,中国电力市场 O,,B,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00045,46,第一章 电力市场基础,single,"在给定的极短时段内向用户提供电能的边际成本,该电价不仅随时间变化,而且区 分节点位置、事故和可靠性电价。这种电价是( )",边际电价,上网电价,调节电价,实时电价 -、不定项选择题,,D,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00046,47,第一章 电力市场基础,multiple,"在电力市场上,发电企业常用的竞争战略是( )",成本领先战略,重点集中式战略,差别化战略,补缺者战略,,ABCD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00047,48,第一章 电力市场基础,single,"按照HHI指数的定义,当1000≦HHI<1800,市场属于( )",低寡占市场,中寡占市场,高寡占市场,竞争型市场 O,,A,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00048,49,第一章 电力市场基础,single,"在美国PJM市场中,某发电商在日前市场中标电量为20MWh,所在节点日前出清 价格为30美元ANWh,实时市场中发电量为30MWh,实时出清价格为40美元/MWh,则该 发电商的市场收益为( )美元",600,900,1000,1200 O,,C,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00049,50,第一章 电力市场基础,single,"已知产量为500时,平均成本为2元,当产量增加到550时,平均成本等于2.5元゜ 在这一产量变化范围内,边际成本( )","随着产量的增加而增加,并小于平均成本","随着产量的增加而减少,并大于平均成本","随着产量的增加而减少,并小于平均成本","随着产量的增加而增加,并大于平均成本 ③",,D,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00050,51,第一章 电力市场基础,single,"某厂商生产5件衣服的总成本为1500元,其中厂房和机器折旧为500元,工人工资 及原材料费用为1000元,那么平均可变成本为( )元。",100,200,300,500,,B,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00051,52,第一章 电力市场基础,multiple,集中式电力市场的代表国家有( ),美国,英国 c.北欧,,澳大利亚 0,,AD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00052,53,第一章 电力市场基础,multiple,电力市场中的交易类型通常包括( ),现货交易,辅助服务,中长期交易,期货交易,,ABCD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00053,54,第一章 电力市场基础,multiple,关于期货交易正确的说法是( ),属于契约交易,期货交易不在交易所公开进行,期货合同可以不进行实物交割,期货交易有信用风险,,AC,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00054,55,第一章 电力市场基础,multiple,电力期货市场的风险主要表现在( ),交易者的投机行为,市场信息不对称,市场不完全引发市场失灵,市场门槛过高,,BC,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00055,56,第一章 电力市场基础,multiple,零售市场用户的权利和责任包括( ),履行与售电公司签订的零售合约,"在合约有效期内依据合约获取相关方履行合约的信息,审核确认本企业的结算结果并及 时反馈意见",按照市场规则和零售合约承担辅助服务、偏差考核、违约等相关责任,向电网企业支付电费并获取增值税专用发票,,ABCD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00056,57,第一章 电力市场基础,multiple,批发市场用户的权利和责任包括( ),"在交易平台上填制合约结算方式、价格等信息,将合约上传至交易平台备案,在合约有 效期内依据合约获取相关方履行合约的信息,在预结算单据结果公示后审核确认本企业 结算结果并反馈意见",按照市场规则承担辅助服务、偏差考核、违约等相关责任,向电网企业支付电费并获取增值税专用发票,"拥有配电网运营权的售电公司可向用户收取电费并开具增值税专用发票,向电网企业支 付购电费、输电费,并代收政府性基金及政策性交叉补贴,归集至电网企业 ゜",,ABC,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00057,58,第一章 电力市场基础,multiple,"以下对部分电力市场改革试点省份的现货与辅助服务市场出清模式的描述,正确的 是( )","以广东电力市场为代表,先进行调频辅助服务市场出清,再开展电能量市场出清,机组 在调频市场的出清结果作为电能量市场的边界条件","以甘肃电力市场为代表,先进行电能量市场出清,再开展调频辅助服务市场出清,电能 量市场出清结果的机组组合作为调频市场的基础","以浙江电力市场为代表,电能量市场与调频辅助服务市场联合出清,机组参与调频市场 的结果作为机组参与实时市场的边界条件","以山西电力市场为代表,电能量市场与调频辅助服务市场联合出清,机组参与调频市场 的结果作为机组参与实时市场的边界条件",,ABC,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00058,59,第一章 电力市场基础,multiple,"在电力市场中,考虑网络安全约柬的机组组合的优化日标是( )。 -、不定项选择题",系统成本最小,社会福利最大,系统能耗最低,购电成本最小,,BD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00059,60,第一章 电力市场基础,single,以下关于集中式市场出清说法错误的是( ),市场出清充分考虑了电力系统安全运行约柬,市场出清价格受系统负荷影响,"出现阻塞时,不同地点的市场价格可能不同",节点电价只反映系统供需平衡情况,,D,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00060,61,第一章 电力市场基础,single,"经济调度中,节点功率平衡约柬的拉格朗日乘子的经济学含义是( )","节点增加单位负荷需求,导致最大生产成本的增加量","节点增加单位负荷需求,导致线路潮流阻塞程度的增加量","节点增加单位负荷需求,导致机组出力的增加量","节点增加单位负荷需求,导致最小生产成本的增加量",,D,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00061,62,第一章 电力市场基础,multiple,大型火电发电机组成本函数的动态约柬主要有( ),启停成本,最低技术出力,最大爬坡速率,最小运行时间,最小停运时间,ABCDE,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00062,63,第一章 电力市场基础,multiple,"对于发电厂来说,燃料成本不属于( )",固定成本,核定成本 c.平均成本,,变动成本,,ABC,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00063,64,第一章 电力市场基础,single,我国电力市场运行中存在的一大主要问题是现货市场需逐步由( )模式向 )模式转变 (,"单边,多边","单边,双边","双边,单边","多边,单边",,B,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00064,65,第一章 电力市场基础,multiple,现代电力系统的主要特点为( ),电源构成、负荷成分等方面发生很大的变化,在运行管理上实现了高度自动化,高压直流输电和柔性交流输电技术得到了广泛应用,电力生产逐步市场化,,ABCD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00065,66,第一章 电力市场基础,multiple,"2022年,我国煤炭产量最多的三个省区是( )",山西,内蒙古,贵州,陕西,,ABD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00066,67,第一章 电力市场基础,multiple,火力发电厂的三大系统包括( ),燃烧系统,废物处理系统,汽水系统,电气系统,,ACD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00067,68,第一章 电力市场基础,single,水轮机的最低水头( ),表明水轮机利用水流单位机械能量的多少,是指保证水轮机发出额定出力的最低水头,是指保证水轮机安全稳定运行的最低工作水头,以上【答案】都不是 ゜,,C,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00068,69,第一章 电力市场基础,single,径流式水电站是( ),年调节电站,季调节电站,周调节电站,无调节电站,,D,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00069,70,第一章 电力市场基础,multiple,风能的主要优点包括( ),能量巨大,分布广泛,地区差异小,没有污染,,ABD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00070,71,第一章 电力市场基础,single,传统电力系统主力电源是( ),水电,火电 c.风电,,核电,,B,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00071,72,第一章 电力市场基础,single,组成传统电力系统的主要元件是( ),电源、电阻、电感、电容,发电机、变压器、线路、用电设备,发电厂、变电站、变压器、线路,发电机、变压器、线路、开关,,B,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00072,73,第一章 电力市场基础,single,1Mwh等于( )电能,1000kWh,10万kWh,,,,,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00073,0,第一章 电力市场基础,multiple,1万kWh,,,,1000度 O,,ACD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00074,74,第一章 电力市场基础,single,发电利用小时数等于( ),实际发电量/发电设备平均容量,发电设备平均容量/实际发电量,实际上网电量/发电设备平均容量,发电设备平均容量/实际上网电量,,A,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00075,75,第一章 电力市场基础,single,"用电负荷曲线有着明显的高峰低谷现象,通过划分峰谷时段来确定( )促使用 户自觉地调整用电方式,通过用户对电价的响应来达到削峰填谷的目的",季节电价,分时电价,实时电价,阶梯电价,,B,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00076,76,第一章 电力市场基础,single,"一般情况下在同一电力系统中,要保证任一瞬间的( )都在全网统一范围内",电压,频率,波形,电流,,B,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00077,77,第一章 电力市场基础,single,最佳的备用容量必定是系统( )相互协调的结果,稳定性和安全性,随机性和经济性,灵活性和经济性,可靠性和经济性,,D,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00078,78,第一章 电力市场基础,single,"( )主要反映发电厂的圃定成本,与发电厂类型、投资费用、还贷利率和折旧 方式等相关",容量电价,电量电价,销售电价,输配电价,,A,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00079,79,第一章 电力市场基础,single,电力供需的实时平衡特性要求装机容量必须满足( ),最小负荷需求,最大负荷需求及必要的负荷备用容量,平均负荷需求,中位负荷需求 ③,,B,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00080,80,第一章 电力市场基础,multiple,自动发电控制的作用在于解决( ),快速负荷波动问题,负荷大幅度波动问题,计划性的负荷波动问题,难以预测的较小程度发电变化问题,,AD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00081,81,第一章 电力市场基础,single,国调及分中心主要负责电网( ) Ⅳ以上主网调度运行'指挥直调范围内电网的 运行、操作和故障处置。,500,330 c. 220,,750,,A,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00082,82,第一章 电力市场基础,multiple,"在无功功率不足的条件下,以下说法中正确的是( )",采取调整变压器分接头的办法来提高电压,调整发电机机端电压来提高电压,投入并联电容来提高电压,调整调相机机端电压来提高电压 门l,,BCD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00083,83,第一章 电力市场基础,single,N-1安全分析的目的是( ),分析系统中某台设备停运对系统安全性的影响,分析系统中所有设备停运对系统安全性的影响,分析系统中任意一台设备停运对系统安全性的影响,分析系统中两台设备停运对系统安全性的影响,,C,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00084,84,第一章 电力市场基础,multiple,"根据用电设备的重要性和对供电可靠性的要求,通常将电力负荷分为( )",核电,水电,风电,太阳能发电,,ABCD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00085,86,第一章 电力市场基础,single,"正常蓄水位是指水库在正常运用情况下,为满足兴利部门要求,允许充蓄并能保持 的( ),又称正常高水位或设计蓄水位",正常水位,最高水位,平均水位,最低水位,,B,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00086,87,第一章 电力市场基础,multiple,"调度机构综合( )等因素,基于历史相似日预测母线负荷",气象因素,节假日影响,工作日类型,机组状态,,ABCD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00087,88,第一章 电力市场基础,multiple,"发生( )等事故后,应立即调出系统备用,尽快恢复系统频率,控制联络线输 送功率在规定范围内。事故发生后30min以内,系统备用应恢复正常",机组跳闸,线路断流,直流闭锁,计划计算失败,,AC,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00088,89,第一章 电力市场基础,multiple,"抽水蓄能是在电力系统中应用最为广泛的一种储能和调峰技术,主要应用包括调 频、调相、 ( )",调峰填谷,提供系统的备用容量,黑启动,紧急事故备用,,ABCD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00089,90,第一章 电力市场基础,multiple,以下属于国家电网公司经营区域±800kv特高压直流工程的是( ),向家坝一上海,锦屏一苏南,哈密南一郑州,准东一皖南,,ABC,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00090,91,第一章 电力市场基础,multiple,"当出现( )时,电力调度机构设置必开机组",系统安全约柬,电压支撑要求,保供电、保供热、保民生,相关单位要求,,ABC,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00091,92,第一章 电力市场基础,multiple,确定电力系统备用容量主要考虑( ),发电成本,发电机组故障,用电设备故障,电力需求增加,,BD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00092,93,第一章 电力市场基础,multiple,下列属于电力工业特点的是( ),电能可以大规模储存,技术密集型,发电输电配电必须一体化经营,资产专用性强,,BD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00093,94,第一章 电力市场基础,multiple,以下属于全国性联网获得效益的是( )。,大规模开发利用西部的水电和煤炭资源,各地域电网形成互补效益,东西部时差效益,南北部温差效益,,ABCD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00094,95,第一章 电力市场基础,multiple,调频厂的选择依据包括( ),调整容量足够大,调整速度足够快,调整范围内的经济性能较好,调整时不引起系统内部工作困难,,ABCD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00095,96,第一章 电力市场基础,multiple,电力系统中谐波对电网产生的影响包括( ),"设备发热,产生噪声",引起附加损耗,"电感电容发生谐振,放大谐波",产生干扰,,ABCD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00096,97,第一章 电力市场基础,multiple,电力系统中性点接地方式包括( ),中性点不接地,中性点经消弧线圈接地,中性点直接接地,中性点经电阻接地 O,,ABCD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00097,98,第一章 电力市场基础,multiple,电力系统参数中的运行参数包括( ),电压,电流,功率,电阻,,ABC,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00098,99,第一章 电力市场基础,multiple,调度D5000系统平台主要包括的应用是( ),静态稳定分析,暂态稳定分析,动态稳定分析,电压稳定分析 ゜,,ABCD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00099,101,第一章 电力市场基础,multiple,属于电力系统常规电压调整的措施包括( ),改变变压器变比调压,改变发电机端电压调压,无功补偿设备调压,改变线路的参数调压,,ABCD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00100,102,第一章 电力市场基础,multiple,输电线路等效电路中消耗有功功率的是( ),电抗,电阻,电纳,电导,,BD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00101,103,第一章 电力市场基础,multiple,电力系统内电压下降的原因包括( ),负荷急剧增加,负荷急剧减少,无功电源的突然切除,无功电源的突然投入,,AC,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00102,104,第一章 电力市场基础,multiple,串联电容器和并联电容器调压的差别是( ),串联电容器增加了系统无功注入,并联电容器增加了系统无功注入,串联电容器改变了线路参数,并联电容器改变了线路参数,,BC,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00103,105,第一章 电力市场基础,multiple,常用的潮流计算方法包括( ),牛顿一拉夫逊法,P-Q快速分解法,最优因子法,隐式积分法 ゜,,ABC,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00104,106,第一章 电力市场基础,multiple,下列属于物理储能的是( ),压缩空气储能,抽水蓄能,气态氢,飞轮储能 ゜,,ABD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00105,107,第一章 电力市场基础,single,具有市场力的发电企业( ),可以通过控制产量来控制电价,最大化产量实现效益最大化,不允许报价,必然行使市场力,,A,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00106,108,第一章 电力市场基础,single,水电厂的一般厂用电等级选择( ),"设发电机电压母线,并采用单母线接线","不设发电机电压母线,全部机组采用单元接线","不设发电机电压母线,而采用发电机一变压器扩大单元接线","设发电机电压母线,并采用单母线分段接线 O",,B,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00107,0,第一章 电力市场基础,single,电气主接线是指( ),下降,上升,不变,可能上升也可能下降,,A,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00108,112,第一章 电力市场基础,single,气体全封闭组合电器中SF6的主要作用是( ),绝缘和灭弧,绝缘和散热,灭弧和散热,导热和散热,,A,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00109,3,第一章 电力市场基础,single,下列关于导体稳定温升的说法中正确的是( ),"与电流的平方成正比,与导体材料的电阻成反比","与电流的平方成正比,与导体材料的电阻成正比","与电流的平方成反比,与导体材料的电阻成反比","与电流的平方成反比,与导体材料的电阻成正比",,A,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00110,4,第一章 电力市场基础,single,利用灭弧介质灭弧的原理是( ),"降温,进而抑制电弧",增强去游离能力,加快弧隙电压恢复速度,加快离子扩散和复合,,B,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00111,5,第一章 电力市场基础,single,"300Mw汽轮发电机组的厂用电压分为两级,分别是( )",便于扩建,可靠性高,接线简单,投资少 O,,B,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00112,7,第一章 电力市场基础,multiple,"能源转型背景下,我国电力系统在下列哪些方面正发生深刻的变化。 ( )",电源结构,电网形态,市场主体,成本构成,,ABCD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
